Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,TotalSpend,SpendCount,GroupMemberNo,GroupSize,CabinNum,SurnameFreq,LuxurySpend,BasicSpend,LuxuryShare,SpendPerActiveCategory,HasAnyLuxurySpend,AgeWasOutOfRange,IsChild,IsSenior,IsSolo,IsMultiPassengerGroup,GroupMemberIsLeader,AgeMissing,HomePlanetMissing,CryoSleepMissing,CabinMissing,DestinationMissing,VIPMissing,RoomServiceMissing,FoodCourtMissing,ShoppingMallMissing,SpaMissing,VRDeckMissing,NameMissing,IsZeroSpend,HomePlanet,CryoSleep,Destination,VIP,Deck,Side,AgeGroup,CabinNumBin,DeckSide,HomePlanetDestination
39.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0
24.0,4.700480365792417,2.302585092994046,3.258096538021482,6.309918278226516,3.8066624897703196,6.602587892189336,5,1,1,0,4,6.386879319362645,4.969813299576001,0.8046132971506106,4.998562712861986,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,5.0,1.0,5.0,0.0,11.0,2.0
58.0,3.784189633918261,8.182279739259018,0.0,8.812248018197431,3.912023005428146,9.248021438943871,4,1,2,0,6,8.819517540604888,8.194229304819817,0.651386748844376,7.862015942107921,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,6.0
33.0,0.0,7.157735484249907,5.918893854273146,8.110727582974489,5.267858159063328,8.551981016901902,4,2,2,0,6,8.167068178341237,7.411556287811163,0.6803167857832721,7.166265974133638,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0
16.0,5.717027701406222,4.2626798770413155,5.0238805208462765,6.338594078203183,1.0986122886681098,6.9957661563048505,5,1,1,1,6,6.342121418721152,6.263398262591624,0.5192307692307693,5.389984555073861,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,5.0,1.0,4.0,0.0,11.0,2.0
44.0,0.0,6.182084906716632,0.0,5.676753802268282,0.0,6.652863029353347,2,1,1,0,7,5.676753802268282,6.182084906716632,0.37548387096774194,5.961005339623274,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,10.0,1.0
26.0,3.7612001156935624,7.3395376954076745,1.3862943611198906,0.0,0.0,7.368339686311381,3,1,2,2,7,0.0,7.368339686311381,0.0,6.270988431858299,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,5.0,1.0,5.0,0.0,11.0,2.0
28.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,0,7,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1.0,2.0,0.0,6.0,1.0,5.0,0.0,13.0,2.0
35.0,0.0,6.666956792429207,2.8903717578961645,5.37989735354046,0.0,6.926577033222725,3,1,1,3,5,5.37989735354046,6.688354713946762,0.21197252208047104,5.829925529496556,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,11.0,2.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,3,1,3,0.0,0.0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,4.0
34.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,3,1,3,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0
45.0,3.6888794541139363,8.895081531754167,6.380122536899765,4.709530201312334,4.8283137373023015,9.006754319877503,5,3,3,1,3,5.459585514144159,8.977651407818442,0.028683500858053445,7.3978066035316505,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,4.0
32.0,4.30406509320417,0.0,7.024649030453636,0.0,4.736198448394496,7.177782416195197,3,1,1,1,4,4.736198448394496,7.087573705557973,0.08625954198473282,6.080695680835925,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,10.0,10.0
48.0,6.579251212010101,0.6931471805599453,4.189654742026425,0.0,3.2188758248682006,6.697034247666484,4,1,1,1,5,3.2188758248682006,6.666956792429207,0.02962962962962963,5.31443674842792,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,6.0,1.0,2.0,0.0,13.0,2.0
28.0,2.1972245773362196,6.882437470997847,2.5649493574615367,1.0986122886681098,2.0794415416798357,6.911747300251674,5,1,1,2,4,2.302585092994046,6.902742737158593,0.008964143426294821,5.306285536197214,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,5.0,0.0,5.0,0.0,10.0,2.0
31.0,3.4965075614664802,0.0,6.776506992372183,0.0,0.0,6.812345094177479,2,1,1,-1,7,0.0,6.812345094177479,0.0,6.12029741895095,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,8.0,2.0,0.0,5.0,16.0,2.0
27.0,7.160069207596127,4.812184355372417,0.0,0.0,0.0,7.25063551189868,2,1,1,3,1,0.0,7.25063551189868,0.0,6.558197802812269,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,10.0,8.0
24.0,0.0,0.6931471805599453,0.0,0.0,6.45833828334479,6.459904454377535,2,1,1,4,7,6.45833828334479,0.6931471805599453,0.9968701095461658,5.768320995793772,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,10.0,0.0
45.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,5,3,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,1.0,2.0,0.0,5.0,0.0,2.0,0.0,10.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2,0,6,0.0,0.0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,2.0,0.0,6.0,0.0,1.0,0.0,12.0,2.0
14.0,6.023447592961033,0.0,0.6931471805599453,0.0,6.522092798170152,6.996681488176539,3,2,2,6,6,6.522092798170152,6.025865973825314,0.6212259835315646,5.8998973535824915,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,10.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,6,0,7,0.0,0.0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,2.0,0.0,4.0,1.0,1.0,0.0,9.0,2.0
49.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,6,0,7,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,9.0,0.0
29.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,6,0,6,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,1.0,0.0,0.0,4.0,1.0,5.0,0.0,9.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,6,0,1,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,2.0,0.0,4.0,1.0,1.0,0.0,9.0,2.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,6,0,7,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,9.0,1.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,6,0,6,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,2.0,0.0,4.0,1.0,1.0,0.0,9.0,2.0
21.0,6.8885724595653635,1.0986122886681098,4.248495242049359,0.0,0.0,6.9584483932976555,3,1,1,0,0,0.0,6.9584483932976555,0.0,5.861735440433198,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,0.0,2.0,0.0,3.0,0.0,5.0,0.0,6.0,10.0
62.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,2,1,0.0,0.0,0.0,0.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,1.0,2.0,0.0,2.0,1.0,3.0,0.0,5.0,6.0
15.0,0.0,5.420534999272286,0.0,6.906754778648554,0.0,7.1098794630722715,2,1,1,6,3,6.906754778648554,5.420534999272286,0.815359477124183,6.417548942418882,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,5.0,1.0,4.0,0.0,11.0,2.0
34.0,3.1354942159291497,8.711772645605693,0.0,7.271703706887368,5.796057750765372,8.969796305981806,4,1,1,0,2,7.4770384723196965,8.715388097366482,0.22462477741032816,7.583883454372487,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0
43.0,7.026426808699636,0.0,4.919980925828125,3.8918202981106265,0.0,7.177782416195197,3,1,1,8,5,3.8918202981106265,7.140453043101158,0.0366412213740458,6.080695680835925,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,10.0,10.0
32.0,0.0,6.7464121285733745,4.406719247264253,6.082218910376446,6.118097198041348,7.507690077819904,4,1,1,4,4,6.792344427470809,6.837332814685591,0.4884742041712404,6.123040904896701,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,13.0,2.0
47.0,5.3706380281276624,0.0,7.252762418053187,0.0,7.114769448366463,7.956827122090111,3,1,3,9,4,7.114769448366463,7.3938782901077555,0.43047285464098073,6.858915113562664,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2.0,0.0,5.0,0.0,2.0,0.0,10.0,10.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,3,9,4,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,2.0,0.0,5.0,0.0,1.0,0.0,10.0,10.0
20.0,0.0,0.0,7.467942332285852,6.898714534329988,0.0,7.916078096302786,2,3,3,9,4,6.898714534329988,7.467942332285852,0.36118205034658885,7.223295679562314,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,0.0,2.0,0.0,5.0,0.0,5.0,0.0,10.0,10.0
28.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0.0,0.0,3.0,1.0,5.0,0.0,7.0,4.0
23.0,6.665683717782408,6.872128101338986,0.0,6.858565034791365,0.0,7.90100705199242,3,1,1,1,5,6.858565034791365,7.466799475018602,0.3522222222222222,6.8031352298520344,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,6.0,8.0
15.0,0.0,6.20050917404269,3.8918202981106265,3.044522437723423,5.996452088619021,6.8690144506657065,4,1,1,8,5,6.045005314036012,6.293419278846481,0.4376299376299376,5.485833740219095,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,5.0,1.0,4.0,0.0,11.0,0.0
20.0,6.318968113746434,5.278114659230517,0.0,7.865955413933502,0.0,8.118505067587098,3,1,1,10,7,7.865955413933502,6.620073206530356,0.7765196662693683,7.020488548969376,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,0.0,11.0,0.0
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,12.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,2,10,0.0,0.0,0.0,0.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,2.0,0.0,6.0,0.0,4.0,0.0,12.0,2.0
45.0,0.0,5.10594547390058,3.828641396489095,7.828834527588089,6.752270376141742,8.182000136293405,4,1,1,3,2,8.121777419161074,5.3471075307174685,0.9412751677852349,6.796544349646135,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,6.0
55.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,3,3,6,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,2.0,0.0,6.0,0.0,2.0,0.0,12.0,2.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,3,3,6,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,12.0,0.0
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,3,3,6,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,1.0,0.0,6.0,0.0,5.0,0.0,12.0,1.0
21.0,6.878326468291325,0.0,5.198497031265826,0.0,4.174387269895637,7.102499355774649,3,1,2,10,4,4.174387269895637,7.048386408721883,0.05267489711934156,6.005531804319418,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2.0,0.0,5.0,0.0,5.0,0.0,10.0,10.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,10,4,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2.0,1.0,2.0,0.0,5.0,0.0,5.0,0.0,10.0,10.0
35.0,6.673297967767654,0.0,0.0,0.6931471805599453,0.0,6.674561391814426,2,1,1,1,2,0.6931471805599453,6.673297967767654,0.0012626262626262627,5.982676041074902,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,9.0,0.0
